	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
31.tree	tree	real	856	0.7673058226354164			0.0868294429319602			0.4004108352506158			37.21140842103513			0.7138162204143779		
31.tree	tree	bdct		0.746825	0.686372	0.810674	0.0731703	0.0540001	0.097964	0.366514	0.304952	0.430853	32.1291	25.4296	40.3168	0.713816	0.713816	0.713816
32.tree	tree	bdct		0.309786	0.283249	0.337434	0.0593213	0.0438297	0.0783936	0.33865	0.271185	0.410985	23.8238	17.975	31.1465	0.49832	0.49832	0.49832
32.tree	tree	bd		0.321479	0.300197	0.343406	0.121285	0.102491	0.14131	0			0.121285			0.49832	0.49832	0.49832
32.tree	tree	real	644	0.30724524063414926			0.06010407013470395			0.343098691078461			23.430040782456246			0.4983201969824886		
33.tree	tree	bdct		0.0726925	0.0659713	0.0803213	0.0518314	0.0454775	0.0585068	0.459475	0.392169	0.528096	6.61131	5.32427	8.13773	0.612167	0.612167	0.612167
33.tree	tree	real	955	0.07326748210598043			0.05302081767046127			0.5228491104970644			6.527855832024048			0.6121672708040572		
33.tree	tree	bd		0.0799562	0.0744046	0.0856778	0.07345	0.0677898	0.0791716	0			0.07345			0.612167	0.612167	0.612167
34.tree	tree	real	980	0.8717211120883953			0.11148838092756438			0.5691302479452334			17.53205820395681			0.4275233211079946		
34.tree	tree	bd		0.895673	0.849367	0.943314	0.358097	0.315552	0.403857	0			0.358097			0.427523	0.427523	0.427523
34.tree	tree	bdct		0.845765	0.786368	0.907702	0.109319	0.0813932	0.143648	0.518977	0.454105	0.584742	19.4296	16.1354	23.2153	0.427523	0.427523	0.427523
35.tree	tree	real	569	1.332791741665446			0.22686937427963716			0.512464186541905			85.82626717149004			0.4824346654680123		
35.tree	tree	bdct		1.33658	1.21202	1.46801	0.207598	0.147072	0.283876	0.481562	0.398794	0.5651	78.9248	60.9063	101.618	0.482435	0.482435	0.482435
35.tree	tree	bd		1.40774	1.3102	1.50869	0.551304	0.467469	0.64376	0			0.551304			0.482435	0.482435	0.482435
