	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	upsilon	upsilon_min	upsilon_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max
77	BDPN(p)		0.4033211098753508	0.3836765244322185	0.4233401931432232	0.12968429402945486	0.11410143029932555	0.1468482055463191	60.61654605744268	50.02436415055436	73.00983559647909	3.1100227895272003	2.9585427233391504	3.264390621173225	7.711033995935336	6.809752943726496	8.764132030393236	0.5221658559215578	0.5221658559215578	0.5221658559215578	0.20757382009950973	0.17595124594372502	0.2416233825171089	0.016497145829661088	0.013696784711678288	0.019990259086359985
78	real	901.0	0.43379848518253034			0.1806869656039313			64.75653326928715			2.400828879563031			5.534433525172014			0.1566952333977727			0.291369668223848			0.015442457301436209		
78	BD(p)		0.4809886865705341	0.4613016505979145	0.5010062143773711	0.2692706008169745	0.2472640280937071	0.2921526212957765				1.7862651366736697	1.713152676891991	1.860604955971073	3.713736282260196	3.4228684841666914	4.044259926158868	0.1566952333977727	0.1566952333977727	0.1566952333977727						
78	BDPN(p)		0.4197495391737605	0.4033921352997855	0.4369084713906859	0.16415379642974331	0.14567153042793646	0.18417766953982306	63.410315926107295	53.64387252159486	74.49421433111145	2.5570504508764764	2.457403630457213	2.661580060243564	6.091848143323282	5.429539870379231	6.864759346334312	0.1566952333977727	0.1566952333977727	0.1566952333977727	0.2566403916989258	0.2245603427365601	0.2907594362205571	0.015770304648305342	0.01342386128881373	0.01864145806396509
79	BDPN(p)		0.33124826434565696	0.3157678769544543	0.3474553573742081	0.1588876136428165	0.14346890137301022	0.1750975010621052	64.14355754286197	47.3953970711601	87.00047259632984	2.084796018714912	1.9873662251880044	2.1867995207939668	6.293756807550941	5.711103778947197	6.970151652587497	0.3705387680563052	0.3705387680563052	0.3705387680563052	0.10254257311421244	0.08011138524547845	0.12883527116750698	0.015590030212025275	0.01149419043549179	0.02109909530874035
79	real	856.0	0.33050621889598186			0.15370607299171704			48.71614186991276			2.1502482788288546			6.505923809880227			0.3705387680563052			0.12523543764747536			0.020527077096341308		
79	BD(p)		0.3430921360342462	0.3270565671576409	0.35929903704446137	0.18449769728031748	0.16801157604028893	0.20166066786275397				1.8596011825175656	1.772686445298696	1.947444560777139	5.420121848353722	4.958825191834529	5.9519708318205495	0.3705387680563052	0.3705387680563052	0.3705387680563052						
80	real	955.0	0.10929711379292277			0.0776242355801031			20.82197051241623			1.4080282140767149			12.882574527488464			0.28907024971957745			0.059539513882876004			0.04802619422612744		
80	BDPN(p)		0.11098677675921984	0.1058311465986314	0.1167081875862266	0.0745012093201602	0.06875892734202269	0.08022282891925847	18.334010920475	11.219674773479149	29.267537487390033	1.4897312107011202	1.4205292446171511	1.5665274248728882	13.422600909773388	12.465279689980335	14.543566030717301	0.28907024971957745	0.28907024971957745	0.28907024971957745	0.04229570931936722	0.02775655924083473	0.05913035505398771	0.054543438658216516	0.03416754827531533	0.08912914324074532
80	BD(p)		0.11305130312089098	0.10779889828709924	0.11877270213458314	0.07828290053014518	0.07284894658661935	0.08400449849023278				1.4441378941670309	1.377042720147908	1.5172240850841514	12.774181759079303	11.904124397769845	13.72703445767707	0.28907024971957745	0.28907024971957745	0.28907024971957745						
81	BD(p)		0.3246362578194651	0.3100979103002313	0.33989009332578496	0.14288199759056536	0.12570097444483286	0.16099922060734792				2.2720585048770423	2.170307775153246	2.378816779282125	6.998782329916356	6.211210192370089	7.955387811562879	0.19350843121488906	0.19350843121488906	0.19350843121488906						
81	BDPN(p)		0.29742084208613595	0.28410506207054786	0.31076831151916784	0.07186536197685638	0.05913174224664	0.08616944868070077	9.678907854873048	7.9369553241100705	11.684957264039474	4.138584067550065	3.9532961952107257	4.324312895261672	13.914909387390844	11.605041175387814	16.91139076925849	0.19350843121488906	0.19350843121488906	0.19350843121488906	0.26908162409442504	0.22808872042379	0.3126226601591126	0.1033174419050316	0.08558011616161458	0.12599289767479255
81	real	606.0	0.29597994849427134			0.08602541004480671			10.859477913614974			3.4406107258321565			11.624472344614755			0.19350843121488906			0.28359302411019616			0.09208545824714638		
82	BD(p)		0.31573595047698744	0.29790910953200184	0.3338500414126382	0.21309947543721336	0.19652920391868106	0.2302619550375877				1.4816364509072404	1.3979814306008294	1.5666394331927964	4.6926441181908745	4.342879829352448	5.088302298389076	0.6349763803672529	0.6349763803672529	0.6349763803672529						
82	real	846.0	0.2769619234595702			0.10313113567311796			25.501774825669973			2.6855315967567956			9.69639278645759			0.6349763803672529			0.7799408172495942			0.03921295701322735		
82	BDPN(p)		0.2763948684937609	0.2602584504179546	0.29355626155670256	0.09775593251222882	0.08566144094820022	0.11110606775940672	25.64581265371658	23.0091740480534	28.48906755456504	2.8273973905285508	2.662328962852433	3.0029508594783234	10.22955818947259	9.0004085300313	11.673863863727247	0.6349763803672529	0.6349763803672529	0.6349763803672529	0.7237502964256779	0.6792226902979263	0.7663747624068722	0.03899272031276733	0.03510118392203264	0.043460925538289855
83	BD(p)		0.21189512526417895	0.1962427526859782	0.2281041533011267	0.14269284858115042	0.12830216864712735	0.1579494603235732				1.4849736855850402	1.3752809242880424	1.5985675215629485	7.008059688648609	6.331139074178621	7.794100524912598	0.7922604318367469	0.7922604318367469	0.7922604318367469						
83	real	553.0	0.21343037096367837			0.1389831642261117			38.30970132553615			1.5356562944303709			7.195116081636335			0.7922604318367469			0.1573471270759267			0.026103048716107545		
83	BDPN(p)		0.20745982474891167	0.1921366346308284	0.2236689246930066	0.12368701987764427	0.11026812707852693	0.13799036526672606	37.147139429954784	26.518410081344673	50.58003723394389	1.6772966553332642	1.5534098470550668	1.8083459761118676	8.084922742816802	7.246882766540023	9.068803710503351	0.7922604318367469	0.7922604318367469	0.7922604318367469	0.1402556720008904	0.10628750143817477	0.1788769992352254	0.02691997325623459	0.019770645786098936	0.03770965140566576
84	BDPN(p)		0.2887434617503386	0.26794950064728684	0.3106716375815418	0.11931877662247925	0.10175583321758	0.13838998712554967	10.526708101410016	8.701541065514881	12.686422417021806	2.4199331398101203	2.2456608107462452	2.603711221113981	8.380910601890998	7.225956304864625	9.827446431122473	0.6337642642081074	0.6337642642081074	0.6337642642081074	0.41359572889831503	0.3554338295219895	0.4731524126820799	0.09499645951672712	0.07882442875765082	0.11492217211536294
84	real	518.0	0.29548536180006724			0.1188532491701406			9.402508839098916			2.4861361709773244			8.413737167323728			0.6337642642081074			0.4390039045495649			0.10635459291903568		
84	BD(p)		0.3155730652843836	0.2940690471497089	0.3384540259838781	0.19321160767694207	0.17293928967976455	0.2151418789524847				1.6333028283271418	1.522005073532667	1.7517271868561202	5.175672476531751	4.648095502693159	5.782376010978892	0.6337642642081074	0.6337642642081074	0.6337642642081074						
85	BDPN(p)		0.3012457639931636	0.28365323875918913	0.31936011748826953	0.1354608770930626	0.118128029655285	0.15453177971000034	69.16201071097665	50.43653198088067	93.63547522078278	2.2238580648359867	2.0939864324392152	2.3575819405692084	7.382205264424745	6.4711608309736315	8.465391346305763	0.42505751318414464	0.42505751318414464	0.42505751318414464	0.12229676524206268	0.09267801741000062	0.15658204784979454	0.01445880462005265	0.010679712978890782	0.01982689849450944
85	BD(p)		0.31173235216505457	0.2935253784053834	0.3307998926704225	0.16344863643782015	0.14504625184134834	0.18347252367025235				1.9072190442142056	1.795826412519799	2.023876735100613	6.11812996298947	5.450407396135559	6.894352575851464	0.42505751318414464	0.42505751318414464	0.42505751318414464						
85	real	548.0	0.30166379686095746			0.13856440234757966			58.34663586634745			2.177065622556172			7.216860774180413			0.42505751318414464			0.14716033709621384			0.017138948718323097		
86	real	664.0	0.26189054209340806			0.10663490157488373			12.916699616373627			2.4559552100256496			9.37779268542538			0.6214752170461335			0.16803034913420375			0.07741915734669308		
86	BDPN(p)		0.27151612269970343	0.2556655686352677	0.2877241841334136	0.1057147356843424	0.0926253937237996	0.12001833816901185	14.887580650794305	10.92515522244262	20.20535338189962	2.568384823005504	2.418447787626023	2.721703670456501	9.45941919569224	8.33206004395581	10.79617543091809	0.6214752170461335	0.6214752170461335	0.6214752170461335	0.1510562562851805	0.11742263672168328	0.18836335439764815	0.06717008112037644	0.04949183422329159	0.09153188029271976
