	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	psi_p	psi_p_min	psi_p_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	pn	pn_min	pn_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	type_max
77	real	501.0	0.5378488778865151			0.11691385770674402			12.376240887352713			4.60038603153106			8.553305994814645			0.1536067697807372			0.2764711717039353			0.0807999786931992			
78	real	921.0	0.26760580691546365			0.058072956391500806			7.397453575450708			4.6080968413488375			17.219719162538688			0.6542259551638284			0.6193156578806389			0.1351816526863533			
78	BDPN(lambda)		0.2676058069154636	0.2676058069154636	0.2676058069154636	0.040087717737364	0.0343238062350769	0.0466737669547783	8.40726781248676	7.462851791728903	9.446906103471177	6.675506165471716	6.675506165471716	6.675506165471716	24.94529637610032	21.425311588175184	29.13429801902496	0.999999	0.9214948976745606	0.999999	0.5597965399626126	0.5160382415756478	0.603134343187729	0.1189447062117809	0.1058547622943515	0.1339970332933989	BDPN(lambda)
78	BDPN(psi)		0.2472880693264137	0.2342701574589409	0.2607255929620614	0.0580729563915008	0.0580729563915008	0.0580729563915008	8.482605427219978	7.525098747634909	9.539298339857996	4.258231106047242	4.034066319606682	4.489621489293072	17.219719162538688	17.219719162538688	17.219719162538688	0.9258643943615832	0.7964545051969145	0.9999628014620904	0.5668579768093412	0.5223394873008427	0.6108752988071713	0.1178883078530427	0.1048295130703382	0.1328886216030445	BDPN(psi)
78	BDPN(p)		0.268918777472295	0.2556732812715773	0.282534776220797	0.0570074017815844	0.0491587082702003	0.06573898444796	8.428259398817945	7.481517191118403	9.47069161215408	4.717260725240873	4.484913770516189	4.956106880704504	17.54158177268548	15.21167399218974	20.34227576736782	0.6542259551638284	0.6542259551638284	0.6542259551638284	0.552786033232428	0.5093072875718405	0.5959405559655537	0.118648460219467	0.1055889095487666	0.1336627283550372	BDPN(p)
79	BDPN(p)		0.5481765276408802	0.5140781856779078	0.583532492374889	0.1039589313647119	0.084427903613154	0.1268745347515247	60.52425096114761	52.047338720968575	70.06786705062962	5.273010413292442	4.945012217126424	5.61310591321608	9.619183141578947	7.881802301450269	11.844425328644522	0.5407413887408205	0.5407413887408205	0.5407413887408205	0.5841000804329753	0.5284023493613441	0.6389051199437912	0.0165223027814409	0.0142718772825983	0.0192132782304414	BDPN(p)
79	BDPN(lambda)		0.5007683490628755	0.5007683490628755	0.5007683490628755	0.068682252700647	0.0556943985447123	0.0841485956836201	60.430747917586935	51.95771090564379	69.96598350283324	7.291088008506131	7.291088008506131	7.291088008506131	14.559801996572824	11.88373961414372	17.95512701689712	0.999999	0.9002149507141113	0.999999	0.5976056481217515	0.5413461433397626	0.6527677250454909	0.0165478673433557	0.0142926598031671	0.0192464214179107	BDPN(lambda)
79	real	511.0	0.5007683490628755			0.13691152544197696			57.67476550872473			3.6576055043306113			7.303986985550019			0.5407413887408205			0.6446837551070718			0.017338605387979			
79	BDPN(psi)		0.5315660787657588	0.4972722874197542	0.5671609229441932	0.1369115254419769	0.1369115254419769	0.1369115254419769	60.97803326878592	52.39522926201231	70.62082483331989	3.8825517212649583	3.6320703155885736	4.142535999896924	7.303986985550019	7.303986985550019	7.303986985550019	0.5634267934767487	0.4621254343733622	0.6857064477574615	0.5893067702786112	0.5330757886955848	0.6445286319775991	0.0163993481979336	0.0141601291454781	0.0190857071165641	BDPN(psi)
80	BDPN(p)		0.195843836787432	0.1851407451670287	0.2068983330142361	0.0502179224167068	0.0439214889825383	0.0571019131711896	20.03320664288499	17.771116413687754	22.507564737996415	3.8998793132524607	3.686746409593297	4.120009810389999	19.913209306072623	17.512548082268854	22.767898428889016	0.8557833126707893	0.8557833126707893	0.8557833126707893	0.5534508059369735	0.5105266191719732	0.5960505878779225	0.0499171209994562	0.0444295067743085	0.0562710848728544	BDPN(p)
80	BDPN(lambda)		0.2038961046298417	0.2038961046298417	0.2038961046298417	0.0436799686566852	0.0380532149763605	0.0499083819669314	20.014945518150167	17.7540012181681	22.489303658447056	4.66795446288937	4.66795446288937	4.66795446288937	22.893789321594426	20.036714487409853	26.278988532801268	0.999999	0.946799132598877	0.999999	0.5546279068759915	0.5116798435435095	0.5972784955668831	0.0499626641048395	0.0444655830695049	0.0563253312710531	BDPN(lambda)
