	type	lambda	psi	psi_p	p	pn	R_naught	infectious_time	partner_removal_time	lambda_error	psi_error	psi_p_error	p_error	pn_error	R_naught_error	infectious_time_error	partner_removal_time_error
23	BDPN(p)	0.7866528818456922	0.171837491168898	24.93712606324792	0.3799718012139167	0.0345957809703475	4.577888541636677	5.819451815768805	0.040100851937136	0.0024486987665829586	0.03082204589801089	0.7317026942937285	0.0	0.0010202894501492032	-0.027524971205588025	-0.029900452770351957	-0.4225336697256523
24	BDPN(lambda)	0.4648157639836047	0.0890245092669758	82.41473737411067	0.9	0.6324617666576108	5.221211190164134	11.232861694312716	0.0121337521887697	0.0	-0.520647603009202	-0.04856131552670996	0.3840973629234681	-0.08609275738231947	1.086147907630463	1.0861479076304632	0.05103987920523608
24	BDPN(p)	0.4618367707514467	0.1333264190523386	82.7729326691744	0.515902637076532	0.617352546550929	3.463955411343853	7.500388948475693	0.0120812440462486	-0.006408976336402992	-0.2821040061756786	-0.04442612234186815	0.0	-0.10120197748900128	0.3840319937859156	0.39295943786073434	0.046491562170728994
24	BDPN(psi)	0.4606152630114062	0.1857182937351303	83.42002511577851	0.5140076238234421	0.6153489664304528	2.480182505167376	5.384499178234915	0.0119875293565555	-0.009036915908787137	0.0	-0.03695574986061057	-0.0018950132530898278	-0.10320555760947747	-0.009036915908787179	0.0	0.03837388557717244
25	BDPN(lambda)	0.3015326157794895	0.0810390580037834	19.64925544756643	0.9	0.4659645087757955	3.7208307106113208	12.339728824998357	0.0508925135951576	0.0	0.14940472540129873	-0.04547560398537786	0.01538705858443079	0.02243290090434058	-0.12998443637782606	-0.129984436377826	0.04764215998590385
25	BDPN(p)	0.3102383195672888	0.0804925099411632	19.6690505687255	0.8846129414155692	0.4635441152181866	3.8542507842538463	12.423516184685504	0.0508412948813114	0.02887151615520693	0.14165284696997182	-0.04451399370356241	0.0	0.02001250734673171	-0.09878776294746121	-0.1240769883296201	0.04658780286704787
25	BDPN(psi)	0.3132428791870694	0.0705052417245716	19.53729645989357	0.9	0.4606583321914976	4.4428310792940895	14.183342621623712	0.0511841544736147	0.038835810107333855	0.0	-0.050914364012291644	0.01538705858443079	0.017126724320042697	0.038835810107333994	0.0	0.05364570074786094
26	BDPN(lambda)	0.2287062270203024	0.0602900104530163	12.206144704848592	0.9	0.4342350174885148	3.793434854328511	16.58649571439856	0.0819259499359183	0.0	-0.14925165167218762	-0.07019338843150673	0.09430688951832089	0.027673595059427902	0.17543572310842404	0.17543572310842395	0.07549245999993202
26	BDPN(p)	0.2318143140956845	0.0648260758352377	12.22337982138542	0.8056931104816791	0.4301270777973974	3.57594241374204	15.425891311724694	0.0818104333345225	0.013589866423296782	-0.08524353319890995	-0.06888049843269078	0.0	0.023565655368310512	0.10804340084943864	0.09318713372642966	0.07397600234636581
26	BDPN(psi)	0.2236112537802956	0.0708670320330557	12.283003237970089	0.9	0.4369135397190969	3.155363606535587	14.11093383357092	0.0814133140426707	-0.022277369997252144	0.0	-0.06433866738896193	0.09430688951832089	0.030352117290010028	-0.022277369997252133	0.0	0.06876277254016656
